player_name,player_id,season,poss,MP,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,1445,683,-3.924464186984284,2.306588373334342,-1.617875813649941,-4.332511170909733,-1.674641159691786,-6.007152330601518,-4.222025394695405,1.579657126272646,-2.642368268422759,.0376524439625978,.0376524439625978,0,-3.990761118296731,1.023823824518307,-2.966937293778424,.3938847042141987
Jaylen Adams,adamsja01,2021,41,18,-11.97373897438949,-2.769910563016637,-14.74364953740613,-26.27451159928412,6.922386742174336,-19.35212485710978,-15.80740397676533,-1.029133040659211,-16.83653701742454,-.1270329819854373,-.1270329819854373,0,-11.48352544781923,-3.748462219562635,-15.23198766738187,-1.819386419205225
Steven Adams,adamsst01,2021,3259,1581,-1.293411877431516,1.570912703537289,.277500826105773,3.109681018909726,-3.775915641073612,-.6662346221638851,-.4748728465967586,.5860289950147761,.1111561484180175,2.278793679485642,2.278793679485642,0,-.4958099286499707,.9559711817630148,.460161253113044,-1.272081624532948
Bam Adebayo,adebaba01,2021,3819,1877,-.1111111624492215,1.723807789401106,1.612696626951885,.5133507880196528,1.275428000828871,1.788778788848524,.0631473239094639,1.712686540043387,1.775833863952851,4.327175178731443,4.327175178731443,0,-.1462482111266719,1.228929313837491,1.08268110271082,-.1622715763088181
LaMarcus Aldridge,aldrila01,2021,1403,674,-2.812046637217772,-1.335349328895628,-4.1473959661134,-.7735753750695392,-2.423060996018359,-3.196636371087898,-2.559711293266963,-1.636104904233321,-4.195816197500284,-.4865933875665818,-.4865933875665818,0,-2.603492894689567,-1.080130547148498,-3.683623441838064,-.4508072967786813
Nickeil Alexander-Walker,alexani01,2021,1784,851,-1.099224273448523,1.305738389932028,.2065141164835049,-3.361169180302685,.9783505174363825,-2.382818662866303,-1.67231932056618,1.349633723275985,-.3226855972901947,1.059006340561794,1.059006340561794,0,-.7714224201172836,1.111719059404798,.3402966392875143,.4897717625829449
Ty-Shon Alexander,alexaty01,2021,59,29,-2.85730548792775,-1.335900696181341,-4.193206184109092,-7.399358773702832,3.596250794476812,-3.80310797922602,-4.037651403664137,-.4391691693780051,-4.476820573042142,-.0253824080754862,-.0253824080754862,0,-4.117114819971324,-3.857847394471518,-7.974962214442842,-.6607782837545435
Grayson Allen,allengr01,2021,2616,1227,.5323502707774059,.8326435394326969,1.364993810210103,-.9311837960065907,-.7752572164063352,-1.706441012412926,.260162545512873,.5338869816421012,.7940495271549743,2.223453477573019,2.223453477573019,0,.4406364699264525,.4167704076156185,.8574068775420709,.2194323804321476
Jarrett Allen,allenja01,2021,3213,1551,-.2110718698393999,2.330963822953567,2.119891953114168,-1.030758121819724,-.7994337891292658,-1.830191910948989,-.3556923820614975,1.83619828359134,1.480505901529843,3.315265757316472,3.315265757316472,0,-.5078319637285533,1.01778079901589,.5099488352873367,-.1613242021961279
Al-Farouq Aminu,aminual01,2021,803,391,-3.595269379018895,2.50704720903047,-1.088222169988425,-2.03327278699493,.7025982266072017,-1.330674560387729,-3.43137024646523,2.316325758905514,-1.115044487559716,.3282773526299658,.3282773526299658,0,-3.024416056240954,1.401280433211667,-1.623135623029288,.1804049296972065
Kyle Anderson,anderky01,2021,3427,1601,1.191254227126318,1.765810888204565,2.957065115330884,-3.144069510415292,1.048279436660251,-2.095790073755041,.3603914357029504,1.709316326922393,2.069707762625344,3.951399487557118,3.951399487557118,0,.2758360919020785,1.767793341881249,2.043629433783327,.3721354300460997
